Team;Position;Week Number;Date;Season;Match Type;GPS System;Opponent;Starting Minute;Player Name;Duration;Total Distance;HSRD > 20;HSRD > 25;HSRD > 30;HSRE > 20;HSRE > 25;HSRE > 30;Maximum Velocity (km/h);Acceleration Efforts > 2 m/s/s;Deceleration Efforts < -2 m/s/s;Acceleration Efforts > 3 m/s/s;Deceleration Efforts < -3 m/s/s;Acceleration Efforts > 4 m/s/s;Deceleration Efforts < -4 m/s/s;Playerload 3D;Explosive Efforts;EMD;HMPE;HMLD;DISTANCE Z1;DISTANCE Z2;Repeat sprint efforts;HR Z1;HR Z2;HR Z3;HR Z4;HR Z5;HR >85%;HR TRIMPs;HR AVERAGE;HR MAX;Playerload 2D;Entries Z3;Helft
1;AW;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Jaden Slory;46;5297;518;157;24;32;6;1;32;76;80;23;33;4;8;591;17;6425;157;598;;;;;;;;;;;;;;;1
1;AW;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Jaden Slory;49;5228;313;20;0;23;2;0;27;63;79;20;31;6;7;546;18;6192;157;473;;;;;;;;;;;;;;;2
1;MA;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Jari Schuurman;46;6420;588;100;0;32;6;0;29;62;53;16;14;1;6;590;18;7296;216;616;;;;;;;;;;;;;;;2
1;MA;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Jari Schuurman;37;4681;420;108;0;24;4;0;29;52;36;9;10;1;3;422;9;5311;160;438;;;;;;;;;;;;;;;2
1;DWL;27;10-03-25;2024-2025;Competition;10;SC Cambuur;60;Kwame Tabiri;37;4006;340;58;4;21;2;0;30;47;46;6;15;1;6;454;21;4595;139;383;;;;;;;;;;;;;;;1
1;M;27;10-03-25;2024-2025;Competition;10;SC Cambuur;75;Lawson Sunderland;19;2342;174;16;0;8;1;0;27;28;21;5;7;0;3;210;8;2672;81;203;;;;;;;;;;;;;;;2
1;DWR;27;10-03-25;2024-2025;Competition;10;SC Cambuur;75;Leo Seydoux;19;2078;175;41;6;13;2;0;31;26;25;4;11;0;7;208;4;2440;76;241;;;;;;;;;;;;;;;1
1;AW;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Marouane Afaker;46;6478;645;91;0;39;5;0;29;81;73;21;27;3;11;643;12;7625;249;686;;;;;;;;;;;;;;;1
1;AW;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Marouane Afaker;12;1596;117;5;0;7;0;0;26;28;23;5;14;0;4;162;2;1908;66;171;;;;;;;;;;;;;;;1
1;DCL;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Reda Akmum;46;5508;348;51;0;24;3;0;29;60;68;5;18;0;3;559;13;6380;191;440;;;;;;;;;;;;;;;1
1;DCL;29;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Reda Akmum;49;5059;245;26;0;18;2;0;26;50;55;4;17;0;1;514;11;5823;171;343;;;;;;;;;;;;;;;2
1;;29;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Sem Valk;46;5170;360;54;16;26;3;1;33;60;59;22;20;4;5;453;14;6109;156;483;;;;;;;;;;;;;;;1
1;;29;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Sem Valk;49;4705;194;25;0;14;2;0;27;43;47;6;14;1;3;387;16;5379;120;292;;;;;;;;;;;;;;;2
1;AW;29;10-03-25;2024-2025;Competition;10;SC Cambuur;60;Sem Verdonk;37;4661;510;103;0;29;5;0;29;69;74;26;28;4;8;463;20;5660;170;628;;;;;;;;;;;;;;;2
1;ST;29;10-03-25;2024-2025;Competition;10;SC Cambuur;82;Tom Sanne;12;1247;28;0;0;3;0;0;22;18;20;3;4;0;0;128;10;1437;47;85;;;;;;;;;;;;;;;1
